Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nahuel Losada,ar ARG,GK,32-210,29.5,1,0,0,1,3,0,0,0,1,0,1,0,29,13,1,92.9
Sasha Marcich,ar ARG,DF,27-168,26.8,4,0,0,29,15,1,83,35,47,0,0,0,70,41,33,55.4
Agustín Cardozo,ar ARG,MF,28-167,25.1,9,1,1,33,30,0,4,27,28,0,0,0,173,35,33,51.5
Eduardo Salvio,ar ARG,FW,35-123,23.6,0,0,0,26,26,7,38,17,20,0,0,0,132,17,21,44.7
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,1,1,0,9,9,0,6,35,16,0,0,0,58,76,51,59.8
Marcelino Moreno,ar ARG,MF,31-141,23.2,2,0,0,24,48,8,168,8,16,1,0,0,95,10,13,43.5
Walter Bou,ar ARG,FW,32-080,17.5,2,0,0,21,13,8,9,1,15,0,1,0,51,28,43,39.4
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,3,0,0,22,5,0,12,16,23,0,0,0,87,18,19,48.6
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,8,0,0,23,22,2,20,8,10,0,0,0,50,48,34,58.5
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,2,0,0,11,6,1,1,35,5,1,0,0,36,71,30,70.3
Agustín Medina,,MF,,14.8,6,0,0,40,16,0,1,23,33,0,1,0,97,17,17,50
Ronaldo Dejesús,py PAR,DF,24-206,13,2,0,0,11,6,1,1,16,7,0,0,0,43,46,36,56.1
Alexis Segovia,ar ARG,FW,21-151,10.3,0,0,0,15,50,0,16,7,11,0,0,0,66,10,7,58.8
Armando Méndez,uy URU,DF,29-227,9.6,4,0,0,24,15,1,15,15,20,0,0,0,43,11,10,52.4
Jose Domínguez,py PAR,DF,29-116,8.8,1,0,0,3,4,0,0,10,4,0,0,0,22,11,14,44
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,4,0,0,13,19,2,31,10,11,1,0,0,67,7,10,41.2
Franco Watson,ar ARG,"MF,FW",25-316,6.2,0,0,0,6,9,1,20,2,7,0,0,0,22,1,4,20
Rodrigo Castillo,ar ARG,FW,26-260,7.7,1,1,0,13,6,3,2,2,8,0,0,0,33,38,39,49.4
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,0,0,0,4,19,0,9,6,6,0,0,0,46,3,2,60
Felipe Peña,ar ARG,MF,24-222,5.3,2,0,0,2,3,0,3,6,4,0,0,0,32,24,4,85.7
Alexis Canelo,ar ARG,"FW,MF",33-283,7,1,0,0,19,13,6,18,1,3,0,0,0,23,21,31,40.4
Nicolás Morgantini,ar ARG,DF,31-063,4.3,1,0,0,5,1,0,7,5,5,0,0,0,20,3,6,33.3
Juan Cáceres,py PAR,DF,25-165,3,1,0,0,1,2,0,8,4,5,0,0,0,22,3,3,50
Bruno Cabrera,ar ARG,FW,22-145,2.7,2,0,0,7,14,1,2,1,0,0,0,0,5,5,10,33.3
Luciano Romero,ar ARG,DF,19-314,2.4,1,0,0,3,1,0,1,6,6,0,0,0,14,3,8,27.3
Franco Orozco,ar ARG,FW,23-308,2.3,0,0,0,0,7,0,9,3,5,0,0,0,15,2,2,50
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,1,0,0,1,5,1,0,0,0,0,0,0,5,0,3,0
Lautaro Morales,ar ARG,GK,25-332,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Facundo Sánchez,ar ARG,MF,20-098,1.4,0,0,0,2,0,0,0,2,4,0,0,0,5,2,1,66.7
Leonel Cardozo,ar ARG,DF,21-308,1.1,1,0,0,1,0,0,0,0,2,0,1,0,2,1,0,100
Tobías Quiroz,ar ARG,DF,20-235,1,1,0,0,2,1,0,0,4,0,0,0,0,3,5,3,62.5
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0
Óctavio Ontivero,ar ARG,DF,19-307,0.8,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,100
Thomás de Martis,ar ARG,FW,17-140,0.1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,33.3
Mariano Gerez,ar ARG,MF,19-298,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Luciano Boggio,it ITA,MF,26-248,0.1,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,
Elías Brito,ar ARG,DF,20-099,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,
Jeremías Chavero,ar ARG,FW,19-167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100
Squad Total,,,29.8,31,61,3,1,378,369,43,490,306,328,3,4,0,1372,573,491,53.9
Opponent Total,,,27.9,31,85,2,2,383,355,44,681,329,359,3,3,0,1384,492,574,46.2
