Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Nahuel Losada,ar ARG,GK,32-210,29.5,890,666,223,62,0,2,0,0,0,0,0,0,619,1,3
Sasha Marcich,ar ARG,DF,27-168,26.8,1324,1026,293,38,0,5,83,248,7,0,6,0,915,5,45
Agustín Cardozo,ar ARG,MF,28-167,25.1,1144,1099,42,38,1,2,4,3,0,0,0,0,988,3,14
Eduardo Salvio,ar ARG,FW,35-123,23.6,799,775,17,0,5,4,38,15,2,1,1,0,597,7,32
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,1214,1093,119,64,0,8,6,9,0,0,0,0,1032,2,10
Marcelino Moreno,ar ARG,MF,31-141,23.2,1046,813,230,64,10,3,168,32,106,40,61,0,763,3,34
Walter Bou,ar ARG,FW,32-080,17.5,408,391,14,0,0,2,9,4,0,0,0,0,274,3,16
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,807,682,124,9,0,4,12,115,0,0,0,0,608,1,14
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,603,588,11,8,1,2,20,3,0,0,0,0,426,4,15
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,643,594,48,34,0,2,1,0,0,0,0,0,548,1,4
Agustín Medina,,MF,,14.8,745,735,7,7,2,7,1,0,0,0,0,0,600,3,13
Ronaldo Dejesús,py PAR,DF,24-206,13,568,526,41,18,1,3,1,5,0,0,0,0,445,1,7
Alexis Segovia,ar ARG,FW,21-151,10.3,347,333,11,2,0,0,16,8,1,0,0,0,265,3,21
Armando Méndez,uy URU,DF,29-227,9.6,363,269,93,2,0,1,15,91,0,0,0,0,280,1,1
Jose Domínguez,py PAR,DF,29-116,8.8,311,295,16,11,0,4,0,1,0,0,0,0,256,0,1
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,409,387,20,7,2,2,31,5,7,3,3,0,316,2,13
Franco Watson,ar ARG,"MF,FW",25-316,6.2,264,237,27,9,0,3,20,0,11,6,4,0,210,0,5
Rodrigo Castillo,ar ARG,FW,26-260,7.7,213,207,5,0,0,0,2,1,1,0,0,0,141,1,10
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,316,310,6,4,1,0,9,2,0,0,0,0,281,0,4
Felipe Peña,ar ARG,MF,24-222,5.3,273,258,15,12,0,2,3,3,0,0,0,0,201,0,7
Alexis Canelo,ar ARG,"FW,MF",33-283,7,236,227,8,0,2,0,18,4,0,0,0,0,154,1,8
Nicolás Morgantini,ar ARG,DF,31-063,4.3,220,170,50,2,0,1,7,48,0,0,0,0,158,0,5
Juan Cáceres,py PAR,DF,25-165,3,160,131,28,2,0,6,8,26,0,0,0,0,120,1,0
Bruno Cabrera,ar ARG,FW,22-145,2.7,52,52,0,0,1,0,2,0,0,0,0,0,36,0,4
Luciano Romero,ar ARG,DF,19-314,2.4,114,86,28,1,0,1,1,27,0,0,0,0,92,0,3
Franco Orozco,ar ARG,FW,23-308,2.3,89,86,3,0,0,0,9,3,0,0,0,0,63,0,7
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,30,28,2,1,0,0,0,1,0,0,0,0,26,0,0
Lautaro Morales,ar ARG,GK,25-332,1.5,40,27,13,3,0,0,0,0,0,0,0,0,32,0,0
Facundo Sánchez,ar ARG,MF,20-098,1.4,62,60,2,2,0,0,0,0,0,0,0,0,51,0,1
Leonel Cardozo,ar ARG,DF,21-308,1.1,42,33,9,1,0,0,0,8,0,0,0,0,29,0,1
Tobías Quiroz,ar ARG,DF,20-235,1,30,29,1,1,0,0,0,0,0,0,0,0,20,0,0
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,25,25,0,0,0,0,1,0,0,0,0,0,16,0,2
Óctavio Ontivero,ar ARG,DF,19-307,0.8,29,22,7,0,0,0,3,7,0,0,0,0,21,0,0
Thomás de Martis,ar ARG,FW,17-140,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Mariano Gerez,ar ARG,MF,19-298,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Luciano Boggio,it ITA,MF,26-248,0.1,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0
Elías Brito,ar ARG,DF,20-099,0,4,2,2,0,0,0,1,2,0,0,0,0,3,0,0
Jeremías Chavero,ar ARG,FW,19-167,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Squad Total,,,29.8,31,13840,12282,1515,402,26,64,490,671,135,50,75,0,10603,43,300
Opponent Total,,,27.9,31,13387,11803,1540,402,18,85,681,689,156,77,59,0,9832,44,364
