Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR
Nahuel Losada,ar ARG,GK,32-210,29.5,966,803,956,11,0,0,966,1,1,100,0,0,496,2500,1515,0,0,0,0,0,394,1
Sasha Marcich,ar ARG,DF,27-168,26.8,1673,76,518,764,396,30,1673,26,11,42.3,15,57.7,625,2883,1667,40,20,5,28,16,817,102
Agustín Cardozo,ar ARG,MF,28-167,25.1,1357,50,305,941,118,6,1357,16,5,31.3,10,62.5,651,3131,1481,20,9,0,22,14,815,20
Eduardo Salvio,ar ARG,FW,35-123,23.6,1173,28,183,572,442,87,1171,112,39,34.8,70,62.5,696,3888,1894,67,42,16,85,39,809,162
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,1533,220,894,601,46,34,1533,7,6,85.7,1,14.3,728,3013,1744,8,3,1,10,3,884,7
Marcelino Moreno,ar ARG,MF,31-141,23.2,1288,1,56,609,640,69,1288,82,33,40.2,48,58.5,721,4087,2116,72,48,24,66,38,877,151
Walter Bou,ar ARG,FW,32-080,17.5,634,21,45,301,297,72,633,38,18,47.4,20,52.6,339,1233,392,8,14,4,71,28,445,117
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,977,48,323,529,130,7,977,10,6,60,4,40,417,1477,747,12,13,1,8,3,495,37
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,809,20,146,469,202,35,809,19,8,42.1,11,57.9,388,1679,757,17,16,3,40,15,540,62
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,888,141,528,349,16,15,888,0,0,,0,,369,1509,749,3,2,0,9,1,446,1
Agustín Medina,,MF,,14.8,929,23,222,613,100,6,929,16,9,56.3,7,43.8,449,2010,864,8,10,0,24,10,551,20
Ronaldo Dejesús,py PAR,DF,24-206,13,798,111,446,312,43,30,798,7,5,71.4,2,28.6,357,1952,1126,7,2,0,7,4,414,5
Alexis Segovia,ar ARG,FW,21-151,10.3,484,14,90,206,199,21,484,21,11,52.4,10,47.6,292,2150,1183,31,24,7,24,17,326,64
Armando Méndez,uy URU,DF,29-227,9.6,494,21,144,236,119,13,494,17,10,58.8,7,41.2,205,1311,818,24,18,2,19,9,227,35
Jose Domínguez,py PAR,DF,29-116,8.8,427,90,263,160,6,5,427,0,0,,0,,194,743,328,1,1,1,4,1,229,1
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,608,7,70,279,273,34,608,63,35,55.6,28,44.4,356,2333,1184,38,28,10,45,24,402,100
Franco Watson,ar ARG,"MF,FW",25-316,6.2,324,4,22,188,119,17,324,11,4,36.4,7,63.6,171,1020,534,19,12,3,13,13,233,36
Rodrigo Castillo,ar ARG,FW,26-260,7.7,332,12,35,169,137,30,332,11,3,27.3,8,72.7,165,745,228,9,9,5,23,15,233,55
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,377,7,63,248,78,7,377,11,7,63.6,4,36.4,232,1194,620,9,12,0,15,11,282,17
Felipe Peña,ar ARG,MF,24-222,5.3,340,26,96,203,41,7,340,4,2,50,2,50,101,371,170,2,2,0,8,1,174,8
Alexis Canelo,ar ARG,"FW,MF",33-283,7,318,8,25,150,145,36,318,8,2,25,6,75,173,676,289,15,8,6,24,15,248,54
Nicolás Morgantini,ar ARG,DF,31-063,4.3,270,20,102,126,43,4,270,3,1,33.3,2,66.7,103,466,306,6,4,0,4,1,134,16
Juan Cáceres,py PAR,DF,25-165,3,211,16,82,98,32,1,211,10,6,60,4,40,92,395,243,2,3,0,2,4,103,11
Bruno Cabrera,ar ARG,FW,22-145,2.7,80,0,7,43,30,6,80,4,0,0,3,75,58,211,77,1,2,0,8,6,72,15
Luciano Romero,ar ARG,DF,19-314,2.4,143,8,40,80,23,1,143,1,0,0,1,100,54,176,87,2,1,0,2,1,60,4
Franco Orozco,ar ARG,FW,23-308,2.3,122,1,20,45,60,10,122,6,2,33.3,4,66.7,81,562,324,11,5,2,7,1,91,33
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,56,4,12,21,25,2,56,5,1,20,4,80,25,113,77,3,2,1,3,1,34,10
Lautaro Morales,ar ARG,GK,25-332,1.5,41,32,41,0,0,0,41,0,0,,0,,17,105,83,0,0,0,0,0,17,0
Facundo Sánchez,ar ARG,MF,20-098,1.4,77,4,19,54,5,0,77,0,0,,0,,33,101,37,0,0,0,1,2,42,0
Leonel Cardozo,ar ARG,DF,21-308,1.1,53,5,22,18,13,2,53,1,1,100,0,0,19,27,12,0,0,0,2,1,21,0
Tobías Quiroz,ar ARG,DF,20-235,1,44,9,28,16,0,0,44,0,0,,0,,8,40,24,0,0,0,0,0,14,0
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,32,1,4,15,15,1,32,1,0,0,1,100,24,133,58,3,2,0,1,3,27,4
Óctavio Ontivero,ar ARG,DF,19-307,0.8,39,1,11,16,12,0,39,4,1,25,3,75,17,67,21,0,0,0,1,1,20,6
Thomás de Martis,ar ARG,FW,17-140,0.1,8,0,0,5,3,0,8,0,0,,0,,5,13,0,0,0,0,1,0,5,0
Mariano Gerez,ar ARG,MF,19-298,0.1,8,0,1,5,2,0,8,0,0,,0,,1,2,0,0,0,0,0,0,2,0
Luciano Boggio,it ITA,MF,26-248,0.1,10,1,1,5,4,1,10,1,0,0,1,100,4,26,3,0,0,0,0,0,4,1
Elías Brito,ar ARG,DF,20-099,0,4,0,0,1,3,0,4,0,0,,0,,1,9,6,0,1,0,0,0,1,0
Jeremías Chavero,ar ARG,FW,19-167,0,2,1,1,1,0,0,2,0,0,,0,,1,2,0,0,0,0,0,1,2,0
Squad Total,,,29.8,31,17929,1834,5821,8459,3817,589,17926,516,227,44,283,54.8,8668,42353,21764,438,313,91,577,299,10490,1155
Opponent Total,,,27.9,31,17137,1561,4873,8383,4086,572,17133,489,231,47.2,247,50.5,8590,45535,23122,431,366,72,523,259,9741,1231
